id,date_of_complaint,customer_raised_issue,complaint_raised_by,complaint_raised_name,contact_number,complaint_raised_through,vehicle_type,vehicle_running_location,upload_file,submitted_to_email,device_model,date_of_sale_of_device,device_ICCID,telco_status,active_profile,vehicle_sale_date,expiry_date,first_communication_in_darby,last_communication_in_darby,vehicle_run,kilometers_hours,main_battery_voltage,issue_identified,issue_analysis,resolved_or_not,call_status,final_action_taken,final_call_status,date_of_closure
27,,,--,sdddd,8319208811,--,--,,,upendram@danlawtech.com,DL545,,,--,JIO,,,,,Kilometers,,,--,--,No,Pending,,--,
28,,,Dealer,sdddd,8319208811,--,--,,,upendram@danlawtech.com,DL545,,,--,--,,,,,Kilometers,,,--,--,No,Pending,,Closed,
29,,ok,Customer,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
30,,upendra,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
31,,ok,Customer,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
32,,ok,--,sdddd,831920883254353,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
33,2002-01-01 00:00:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
34,2024-01-31 21:34:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
35,,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
36,,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
37,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
38,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
39,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
40,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,DL545,,,--,--,,,,,Kilometers,,,--,--,No,Pending,,Closed,
41,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
42,1999-12-01 17:33:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
43,2000-09-30 21:35:00+00:00,ok,Dealer,sdddd,8319208811,Mail,Tipper,UTTARPRADESH,uploads/Device_Repair_DTIL25040020.pdf,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
44,1999-12-31 23:04:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
45,,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
46,2024-09-30 23:04:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
47,2000-01-01 17:32:00+00:00,ok,--,sdddd,8319208811,--,--,UTTARPRADESH,,upendram@danlawtech.com,,,,,,,,,,,,,,,Select one,--,,,
