Date of Complaint,Centralised ID,Unique ID,Customer Raised Issue,Complaint Raised By,Complaint Raised Name,Contact Number,Complaint Raised Through,Service Engineer Name,Device Model,Device PSN,VIN Number,Firmware,Configuration,Device IMEI,Device ICCID,Date of Sale of Device,Telco Status,Active Profile,Vehicle Sale Date,S Trigger Date,C Trigger Date,Commercial Expiry Date,First Communication in Darby,Last Communication in Darby,Vehicle Type,Vehicle Running Location,Vehicle Run,Kilometers/Hours,Main Battery Voltage,Vehicle Support Date,Issue Identified,External Modification,Issue Analysis,Resolved or Not,Issue Description,Engineer Recommendation,Engineer Email,Manager Remarks,Manager Email,Manager Approval Datetime,HOD Remarks,HOD Approval Status,HOD Approval Datetime,Device to be Sent,Upload File,Unique ID
N/A,,R25030000,Samuya,Customer,Samuya,09390540794,Mail,Rishwanth,--,2407047122,43234ewfr33432,M153,--,123456754324567,123456789012345678,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,7UTYU,--,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,--,N/A,R25030000
2025-03-28 22:22:00,,S25030004,Samuya,AL Field,Samuya,21333435435,Mail,Siva,others,2407047122,43234ewfr33432,M153,Operational Mode,,,2025-03-11 00:00:00,Commercial,BSNL,2025-03-20 00:00:00,2025-03-25 22:23:00,2025-03-13 02:23:00,2025-03-21 00:00:00,2025-03-19 22:23:00,2025-03-21 22:27:00,E-com,342,Hours,67,24.0,2025-03-16 22:23:00,Latency,"Air Horn, None, Alt-Device",SW-Issue,No,7UTYU,Replace,mulaupendra@outlook.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Chennai,N/A,S25030004
2025-03-17 01:41:00,,S25030005,Samuya,AL Field,Samuya,09390540794,Mail,Siva,--,2407047122,43234ewfr33432,M153,--,123456754324567,123456789012345678,N/A,--,Airtel,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,S25030005
2025-03-22 01:42:00,,A25030002,Samuya,AL Field,Samuya,234564324653,I-Alert,Anil,DL545,2407047122,43234ewfr33432,M153,Operational Mode,,,2025-03-12 00:00:00,Commercial,Airtel,2025-03-12 00:00:00,2025-03-16 02:42:00,2025-03-09 01:42:00,2025-03-18 00:00:00,2025-03-29 02:42:00,2025-03-15 02:42:00,E-com,342,Hours,67,24.0,2025-03-08 22:45:00,NRD,"Air Horn, None",Disk Image,Yes,7UTYU,Replace,mulaupendra@outlook.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Chennai,N/A,A25030002
2025-03-28 22:43:00,,-25030003,Samuya,AL Field,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,7UTYU,Monitor,sales@danlawtech.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,--,N/A,-25030003
N/A,,S25030006,Samuya,--,Samuya,,--,Swamy,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,mulaupendra@outlook.com,,,N/A,,Pending,N/A,--,N/A,S25030006
2025-03-30 22:49:00,,S25030007,Samuya,Customer,Samuya,09390540794,Mail,Siva,--,2407047122,43234ewfr33432,M153,--,564324567890876,89911643124,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,No,fe,Replace,mulaupendrareddy@gmail.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,--,N/A,S25030007
2025-03-20 02:51:00,,G25030000,Samuya,Customer,Samuya,09390540794,Telephone,Gayadhar,others,2407047122,43234ewfr33432,M153,Plant Mode,564324567890876,89911643124482219,2025-03-11 00:00:00,Bootstrap,BSNL,2025-03-18 00:00:00,2025-03-19 22:55:00,2025-03-18 22:55:00,N/A,2025-03-23 02:51:00,2025-03-21 02:51:00,Passenger,342,Hours,67,24.0,2025-03-12 22:52:00,NRD,"Air Horn, None",Sim Expired,Yes,fe,Replace,mulaupendra@outlook.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Hyderabad,N/A,G25030000
2025-03-12 22:55:00,,S25030008,Samuya,Dealer,Samuya,09390540794,Mail,Swamy,others,2407047122,43234ewfr33432,M153,Operational Mode,564324567890876,89911643124482219,2025-03-11 00:00:00,Commercial,BSNL,2025-03-28 00:00:00,2025-03-14 02:56:00,2025-03-12 01:56:00,2025-03-19 00:00:00,2025-03-13 02:56:00,2025-03-21 02:56:00,E-com,342,Kilometers,67,24.0,2025-03-12 22:56:00,NRD,"None, Alt-Device",Battery Reset,No,fe,Repair,sales@danlawtech.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Hyderabad,N/A,S25030008
N/A,,S25030009,Samuya,Dealer,Samuya,09390540794,I-Alert,Siva,DL545,2407047122,43234ewfr33432,M153,Plant Mode,564324567890876,89911643124482219,2025-03-11 00:00:00,Bootstrap,Airtel,2025-03-19 00:00:00,2025-03-05 06:25:00,2025-03-12 07:25:00,2025-03-20 00:00:00,2025-03-26 07:25:00,2025-03-06 07:25:00,E-com,342,Hours,67,24.0,2025-03-15 08:24:00,Not Powering ON,"None, Alt-Device",CAN Issue,No,dasf,Repair,sales@danlawtech.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Hyderabad,N/A,S25030009
N/A,,S25030010,Samuya,Customer,Samuya,09390540794,Mail,Siva,DL548,2407047122,43234ewfr33432,M153,Operational Mode,564324567890876,89911643124482219,2025-03-12 00:00:00,Commercial,BSNL,2025-04-02 00:00:00,2025-03-12 23:48:00,2025-03-19 23:52:00,2025-03-12 00:00:00,2025-03-22 03:48:00,2025-03-20 03:48:00,E-com,342,Others,67,24.0,2025-03-13 23:48:00,Partial V Packet,"--, None, Alt-Device",SW-Issue,No,fe,Replace,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,Chennai,N/A,S25030010
2025-03-21 23:49:00,,R25030001,Samuya,--,Samuya,09390540794,--,Rishwanth,--,2407047122,43234ewfr33432,M153,--,564324567890876,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,mulaupendra@outlook.com,,,N/A,,Pending,N/A,--,N/A,R25030001
N/A,,A25030003,Samuya,--,Samuya,09390540794,--,Anil,--,2407047122,43234ewfr33432,M153,--,564324567890876,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,A25030003
N/A,,-25030004,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,564324567890876,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,No,7UTYU,Repair,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,--,N/A,-25030004
N/A,,-25030005,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,564324567890876,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030005
N/A,,-25030006,,--,,,--,--,--,,,,--,,8.991164312448221e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030006
N/A,,-25030007,,--,,,--,--,--,,,,--,,1.2345655432145644e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030007
N/A,,-25030008,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,564324567890876,1.234567890123457e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030008
N/A,,-25030009,Samuya,--,Samuya,0939054079,Mail,--,--,2407047122,43234ewfr33432,M153,--,564324567890876,8991164312448221,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030009
N/A,,-25030010,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,8.991164312448221e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030010
N/A,,O25030001,Samuya,--,Samuya,0939054079,--,others,--,2407047122,43234ewfr33432345435435435,M153,--,213456754321345,8.991164312448221e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,O25030001
N/A,,-25030011,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,/media/uploads/DL548_V_PACK_More_than_4200-base_data-07-12-24-_Calling_status-_26-12-24.xlsx,-25030011
N/A,,-25030012,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,5.436590000546357e+19,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030012
N/A,,-25030013,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,/media/uploads/23122024_PENDING_INVOICES.csv,-25030013
N/A,,-25030014,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030014
N/A,,-25030015,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030015
N/A,,-25030016,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030016
N/A,,-25030017,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,223456789087654,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,OK,--,,,upendram@danlawtech.com,N/A,,Pending,N/A,--,/media/uploads/DAILTY_ACTIVITY.xlsx,-25030017
N/A,,-25030018,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,223456789087654,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,OK,--,,,upendram@danlawtech.com,2025-03-18 00:22:06,,Approved,2025-03-18 00:22:22,--,/media/uploads/DAILTY_ACTIVITY_zqzOIdt.xlsx,-25030018
N/A,,-25030019,,--,,,--,--,--,,,,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,,,N/A,--,,--,No,,--,,,upendram@danlawtech.com,N/A,,Pending,N/A,--,/media/uploads/FIR_ENTRIES_18_03_2025_00_28.csv,-25030019
N/A,,S25030011,Samuya,Dealer,Samuya,0939054079,I-Alert,Siva,DL545,2407047122,43234ewfr33432,M153,Operational Mode,123243243254354,89911643124482219,N/A,Bootstrap,Airtel,2025-03-20 00:00:00,2025-03-14 09:58:00,2025-03-07 09:58:00,2025-03-13 00:00:00,2025-03-12 09:58:00,2025-03-13 09:58:00,Tipper,DF,Kilometers,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_qqeETMl.csv,S25030011
2025-03-15 10:00:00,,A25030004,Samuya,Dealer,Samuya,0939054079,I-Alert,Anil,DL545,2407047122,43234ewfr33432,M153,Operational Mode,353224325435436,89911643124482219,2025-03-14 00:00:00,Bootstrap,Airtel,2025-03-11 00:00:00,2025-03-16 09:59:00,2025-03-13 09:59:00,2025-03-15 00:00:00,2025-03-29 09:59:00,2025-03-09 09:59:00,Tipper,FDSF,Kilometers,67,24.0,2025-03-16 10:00:00,NRD,Aiternate Cabin,Disk Image,Yes,dfsf,Repair,mulaupendra@outlook.com,,kunal@danlawtech.com,N/A,,Pending,N/A,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_f0mVk2Z.csv,A25030004
N/A,DTIL25030001,-25030020,Samuya,--,Samuya,0939054079,Mail,--,--,2407047122,43234ewfr33432,M153,Operational Mode,892347283457832,89911643124482219,N/A,--,Airtel,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 04:46:15,,Approved,2025-03-18 04:46:34,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_8swH3z4.csv,-25030020
N/A,,-25030021,Samuya,--,Samuya,0939054079,Mail,--,--,2407047122,43234ewfr33432,M153,Operational Mode,892347283457832,89911643124482219,N/A,--,Airtel,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok,Repair,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_aNh8cU5.csv,-25030021
N/A,DTIL25030002,-25030022,Samuya,--,Samuya,0939054079,Mail,--,--,2407047122,43234ewfr33432,M153,Operational Mode,892347283457832,89911643124482219,N/A,--,Airtel,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 04:49:49,,Approved,2025-03-18 04:50:03,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_oRizMbj.csv,-25030022
N/A,DTIL25030003,-25030023,Samuya,--,Samuya,0939054079,Mail,--,--,2407047122,43234ewfr33432,M153,Operational Mode,892347283457832,89911643124482219,N/A,--,Airtel,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 04:51:12,,Approved,2025-03-18 04:51:26,Hyderabad,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_IIEmzlH.csv,-25030023
N/A,,-25030024,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030024
N/A,,A25030005,Samuya,--,Samuya,0939054079,--,Anil,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,/media/uploads/FIR_ENTRIES_18_03_2025_00_28_9B9qx0R.csv,A25030005
N/A,,S25030012,Samuya,--,Samuya,0939054079,--,Swamy,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,S25030012
N/A,,A25030006,Samuya,--,Samuya,0939054079,--,Anil,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,A25030006
2025-03-15 05:46:00,,A25030007,Samuya,Dealer,Samuya,0939054079,Mail,Anil,DL545,2407047122,43234ewfr33432,M153,Operational Mode,234243265789087,89911643124482219,2025-03-19 00:00:00,Bootstrap,Airtel,2025-03-13 00:00:00,2025-03-09 05:46:00,2025-03-13 05:46:00,2025-03-26 00:00:00,2025-03-23 05:46:00,2025-03-14 05:46:00,Tipper,DFS,Kilometers,67,24.0,2025-03-09 05:47:00,Not Powering ON,,Disk Image,No,df,Repair,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Goa,/media/uploads/FIR_ENTRIES_18_03_2025_05_40.csv,A25030007
2025-03-20 05:52:00,DTIL25030004,-25030025,Samuya,Dealer,Samuya,0939054079,I-Alert,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok done,--,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 05:52:59,,Approved,2025-03-18 05:53:15,--,N/A,-25030025
N/A,DTIL25030005,S25030013,Samuya,Dealer,Samuya,0939054079,I-Alert,Siva,DL548,2407047122,43234ewfr33432,M153,Operational Mode,245678987654356,89911643124482219,N/A,--,BSNL,2025-03-20 00:00:00,N/A,N/A,N/A,N/A,N/A,--,EFSDF,--,67,24.0,2025-03-16 06:01:00,Partial V Packet,,--,No,dsfs,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 06:02:03,,Approved,2025-03-18 06:02:20,Goa,N/A,S25030013
N/A,,-25030026,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030026
N/A,DTIL25030006,-25030027,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,,89911643124482219,N/A,--,BSNL,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,--,,--,No,ok,Replace,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 11:06:00,,Approved,2025-03-18 11:06:30,Hyderabad,N/A,-25030027
2025-03-08 11:22:00,DTIL25030007,A25030008,Samuya,Customer,Samuya,0939054079,I-Alert,Anil,DL545,2407047122,43234ewfr33432,M153,Operational Mode,234564321456432,89911643124482219,2025-03-13 00:00:00,Commercial,Dual,2025-02-28 00:00:00,2025-03-16 11:22:00,2025-03-06 11:22:00,2025-03-15 00:00:00,2025-03-29 11:22:00,2025-03-11 11:22:00,E-com,FDDGS,Kilometers,67,24.0,2025-03-12 11:22:00,NO-DATA,Aiternate Cabin,--,No,,Replace,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 11:26:16,,Approved,2025-03-18 11:32:22,Goa,N/A,A25030008
2025-03-22 11:24:00,,A25030009,Samuya,Dealer,Samuya,0939054079,Mail,Anil,DL548,2407047122,43234ewfr33432,M153,--,,89911643124482219,2025-03-13 00:00:00,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,,--,67,24.0,N/A,100%V Packet,Aiternate Cabin,Battery Reset,Yes,ok done,--,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Goa,N/A,A25030009
2025-03-15 11:31:00,,A25030010,Samuya,Customer,Samuya,0939054079,I-Alert,Anil,DL545,2407047122,43234ewfr33432,M153,--,234564321456432,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,FDDGS,--,67,24.0,N/A,--,,--,No,n,Repair,sales@danlawtech.com,,upendram@danlawtech.com,N/A,,Pending,N/A,Hyderabad,N/A,A25030010
2025-03-08 11:50:00,DTIL25030008,S25030014,Samuya,Dealer,Samuya,0939054079,I-Alert,Siva,DL545,2407047122,43234ewfr33432,M153,Operational Mode,234564321456432,89911643124482219,2025-03-14 00:00:00,Bootstrap,Airtel,2025-03-15 00:00:00,2025-03-14 11:51:00,2025-03-19 11:51:00,2025-03-06 00:00:00,2025-03-01 11:51:00,2025-03-06 11:51:00,E-com,FDDGS,Kilometers,67,24.0,2025-03-16 11:51:00,NO-DATA,Aiternate Cabin,Sim-Reg issue,No,FD,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 11:52:13,,Approved,2025-03-18 11:52:30,Hyderabad,N/A,S25030014
2025-03-09 12:09:00,DTIL25030009,A25030011,Samuya,Dealer,Samuya,0939054079,I-Alert,Anil,DL545,2407047122,43234ewfr33432,M153,Operational Mode,234564321456432,89911643124482219,2025-03-13 00:00:00,Bootstrap,Airtel,2025-03-08 00:00:00,2025-03-16 12:09:00,2025-03-09 12:09:00,2025-03-07 00:00:00,2025-03-16 12:09:00,2025-03-23 12:09:00,Tipper,FDDGS,Kilometers,67,24.0,2025-03-08 12:09:00,NRD,Aiternate Cabin,Disk Image,No,ok,Replace,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 12:10:22,,Approved,2025-03-18 12:10:37,Goa,N/A,A25030011
N/A,DTIL25030010,-25030028,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,234564321456432,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,FDDGS,--,67,24.0,N/A,--,,--,No,gh,Replace,sales@danlawtech.com,fg,upendram@danlawtech.com,2025-03-18 12:20:36,,Approved,2025-03-18 12:20:58,Goa,N/A,-25030028
N/A,DTIL25030011,-25030029,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,234564321456432,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,FDDGS,--,67,24.0,N/A,--,,--,No,n,Replace,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 12:22:22,,Approved,2025-03-18 12:22:38,--,N/A,-25030029
N/A,DTIL25030012,-25030030,Samuya,--,Samuya,0939054079,--,--,--,2407047122,43234ewfr33432,M153,--,234564321456432,89911643124482219,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,FDDGS,--,67,24.0,N/A,--,,--,No,,--,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 12:23:36,,Approved,2025-03-18 12:23:50,--,N/A,-25030030
2025-03-09 12:29:00,DTIL25030013,S25030015,Samuya,Customer,Samuya,0939054079,I-Alert,Swamy,DL548,2407047122,43234ewfr33432,M153,Plant Mode,234564321456432,89911643124482219,2025-03-01 00:00:00,Bootstrap,Airtel,2025-03-15 00:00:00,2025-03-20 12:30:00,2025-03-14 12:30:00,2025-03-08 00:00:00,2025-03-08 12:30:00,2025-03-16 12:30:00,E-com,FDDGS,Kilometers,67,24.0,2025-03-15 12:30:00,Data loss,Air Horn,Sim Expired,No,fcgvv,Repair,sales@danlawtech.com,,upendram@danlawtech.com,2025-03-18 12:30:52,,Approved,2025-03-18 12:31:08,Goa,N/A,S25030015
